目录,文件名,中文名称,尺寸,AI提示词（英文）,AI提示词（中文）
frontend/public/images/animals/,hamster.png,仓鼠,512x512,"A cute cartoon hamster, sitting pose holding a seed, orange and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通仓鼠， sitting pose holding a seed，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,goldfish.png,金鱼,512x512,"A cute cartoon goldfish, swimming pose, orange and gold colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通金鱼， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,panda.png,熊猫,512x512,"A cute cartoon panda, sitting pose eating bamboo, black and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通熊猫， sitting pose eating bamboo，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,lion.png,狮子,512x512,"A cute cartoon lion, sitting pose with fluffy mane, yellow and orange colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通狮子， sitting pose with fluffy mane，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,tiger.png,老虎,512x512,"A cute cartoon tiger, sitting pose, orange with black stripes for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通老虎， sitting pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,elephant.png,大象,512x512,"A cute cartoon elephant, standing pose with long trunk, gray color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通大象， standing pose with long trunk，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,giraffe.png,长颈鹿,512x512,"A cute cartoon giraffe, standing pose with long neck, yellow with brown spots for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通长颈鹿， standing pose with long neck，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,monkey.png,猴子,512x512,"A cute cartoon monkey, sitting pose holding a banana, brown color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通猴子， sitting pose holding a banana，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,kangaroo.png,袋鼠,512x512,"A cute cartoon kangaroo, standing pose with baby in pouch, brown color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通袋鼠， standing pose with baby in pouch，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,zebra.png,斑马,512x512,"A cute cartoon zebra, standing pose, black and white stripes for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通斑马， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,hippo.png,河马,512x512,"A cute cartoon hippo, standing pose, gray color with big mouth for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通河马， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,rhino.png,犀牛,512x512,"A cute cartoon rhino, standing pose with horn, gray color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通犀牛， standing pose with horn，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,fox.png,狐狸,512x512,"A cute cartoon fox, sitting pose with fluffy tail, orange and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通狐狸， sitting pose with fluffy tail，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,wolf.png,狼,512x512,"A cute cartoon wolf, sitting pose, gray color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通狼， sitting pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,bear.png,熊,512x512,"A cute cartoon bear, sitting pose, brown color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通熊， sitting pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,deer.png,鹿,512x512,"A cute cartoon deer, standing pose with small antlers, brown color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鹿， standing pose with small antlers，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,squirrel.png,松鼠,512x512,"A cute cartoon squirrel, sitting pose holding a nut, orange and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通松鼠， sitting pose holding a nut，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,sparrow.png,麻雀,512x512,"A cute cartoon sparrow, standing pose, brown and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通麻雀， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,parrot.png,鹦鹉,512x512,"A cute cartoon parrot, standing pose, colorful feathers for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鹦鹉， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,eagle.png,老鹰,512x512,"A cute cartoon eagle, flying pose, brown and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通老鹰， flying pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,pigeon.png,鸽子,512x512,"A cute cartoon pigeon, standing pose, gray and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鸽子， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,peacock.png,孔雀,512x512,"A cute cartoon peacock, standing pose with beautiful tail, blue and green colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通孔雀， standing pose with beautiful tail，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,penguin.png,企鹅,512x512,"A cute cartoon penguin, standing pose, black and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通企鹅， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,ostrich.png,鸵鸟,512x512,"A cute cartoon ostrich, standing pose with long neck, brown color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鸵鸟， standing pose with long neck，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,owl.png,猫头鹰,512x512,"A cute cartoon owl, sitting pose on branch, brown and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通猫头鹰， sitting pose on branch，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,swan.png,天鹅,512x512,"A cute cartoon swan, swimming pose, white color with orange beak for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通天鹅， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,dolphin.png,海豚,512x512,"A cute cartoon dolphin, jumping pose, gray and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通海豚， jumping pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,whale.png,鲸鱼,512x512,"A cute cartoon whale, swimming pose, blue and white colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鲸鱼， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,crab.png,螃蟹,512x512,"A cute cartoon crab, standing pose with claws, red and orange colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通螃蟹， standing pose with claws，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,turtle.png,海龟,512x512,"A cute cartoon sea turtle, swimming pose, green and brown colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通海龟， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,octopus.png,章鱼,512x512,"A cute cartoon octopus, swimming pose with eight tentacles, purple color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通章鱼， swimming pose with eight tentacles，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,starfish.png,海星,512x512,"A cute cartoon starfish, star shape, orange and yellow colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通海星， star shape，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,shark.png,鲨鱼,512x512,"A cute cartoon shark, swimming pose, gray color with white belly for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通鲨鱼， swimming pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,jellyfish.png,水母,512x512,"A cute cartoon jellyfish, floating pose, pink and purple colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通水母， floating pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,butterfly.png,蝴蝶,512x512,"A cute cartoon butterfly, flying pose with colorful wings for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蝴蝶， flying pose with colorful wings，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,bee.png,蜜蜂,512x512,"A cute cartoon bee, flying pose, yellow and black stripes for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蜜蜂， flying pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,ant.png,蚂蚁,512x512,"A cute cartoon ant, walking pose, black color for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蚂蚁， walking pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,ladybug.png,瓢虫,512x512,"A cute cartoon ladybug, standing pose, red with black spots for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通瓢虫， standing pose，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,dragonfly.png,蜻蜓,512x512,"A cute cartoon dragonfly, flying pose with transparent wings for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蜻蜓， flying pose with transparent wings，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/animals/,snail.png,蜗牛,512x512,"A cute cartoon snail, crawling pose with spiral shell, brown and beige colors for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蜗牛， crawling pose with spiral shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,apple.png,苹果,512x512,"A cute cartoon apple, red color with green leaf, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通苹果， red color with green leaf，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,banana.png,香蕉,512x512,"A cute cartoon banana, yellow color, curved shape, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通香蕉， yellow color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,orange.png,橙子,512x512,"A cute cartoon orange, orange color with green leaf, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通橙子， orange color with green leaf，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,grape.png,葡萄,512x512,"A cute cartoon grape bunch, purple color, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通葡萄， purple color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,watermelon.png,西瓜,512x512,"A cute cartoon watermelon, green striped outside with red inside, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通西瓜， green striped outside with red inside，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,strawberry.png,草莓,512x512,"A cute cartoon strawberry, red color with seeds and green leaves, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通草莓， red color with seeds and green leaves，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,cherry.png,樱桃,512x512,"A cute cartoon cherry, two red cherries connected, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通樱桃， two red cherries connected，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,peach.png,桃子,512x512,"A cute cartoon peach, pink and yellow color with fuzzy texture, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通桃子， pink and yellow color with fuzzy texture，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,pear.png,梨,512x512,"A cute cartoon pear, yellow-green color, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通梨， yellow-green color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,pineapple.png,菠萝,512x512,"A cute cartoon pineapple, yellow color with spiky leaves on top, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通菠萝， yellow color with spiky leaves on top，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,mango.png,芒果,512x512,"A cute cartoon mango, yellow-orange color, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通芒果， yellow-orange color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,dragonfruit.png,火龙果,512x512,"A cute cartoon dragon fruit, pink outside with green scales, white inside with black seeds for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通火龙果， pink outside with green scales，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,durian.png,榴莲,512x512,"A cute cartoon durian, yellow-green color with spiky shell, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通榴莲， yellow-green color with spiky shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,mangosteen.png,山竹,512x512,"A cute cartoon mangosteen, purple shell, white inside, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通山竹， purple shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,lychee.png,荔枝,512x512,"A cute cartoon lychee, red bumpy shell, white inside, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通荔枝， red bumpy shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,longan.png,龙眼,512x512,"A cute cartoon longan, brown shell, white inside, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通龙眼， brown shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,coconut.png,椰子,512x512,"A cute cartoon coconut, brown hairy shell, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通椰子， brown hairy shell，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,papaya.png,木瓜,512x512,"A cute cartoon papaya, orange color, cut in half showing seeds, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通木瓜， orange color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,lemon.png,柠檬,512x512,"A cute cartoon lemon, bright yellow color, oval shape, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通柠檬， bright yellow color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,kiwi.png,猕猴桃,512x512,"A cute cartoon kiwi, brown fuzzy outside, green inside with black seeds, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通猕猴桃， brown fuzzy outside，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,pomelo.png,柚子,512x512,"A cute cartoon pomelo, large yellow-green fruit, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通柚子， large yellow-green fruit，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,pomegranate.png,石榴,512x512,"A cute cartoon pomegranate, red outside, showing red seeds inside, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通石榴， red outside，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,persimmon.png,柿子,512x512,"A cute cartoon persimmon, orange color, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通柿子， orange color，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,blueberry.png,蓝莓,512x512,"A cute cartoon blueberry, small blue round fruit, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通蓝莓， small blue round fruit，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,raspberry.png,树莓,512x512,"A cute cartoon raspberry, red bumpy texture, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通树莓， red bumpy texture，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,blackberry.png,黑莓,512x512,"A cute cartoon blackberry, dark purple bumpy texture, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通黑莓， dark purple bumpy texture，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
frontend/public/images/fruits/,mulberry.png,桑葚,512x512,"A cute cartoon mulberry, purple elongated shape, smiling face for children's education app, simple and friendly style, big eyes, white background, flat design, vector style, kawaii aesthetic, suitable for 3-6 year old kids",可爱的卡通桑葚， purple elongated shape，儿童教育风格，简单友好，大眼睛，微笑表情，白色背景，扁平设计，矢量风格，适合3-6岁儿童
